Bill Date,Invoice ID,Product ID,Product Name,Product Category,Brand,Qty Sold,Selling Price per Unit,MRP,Discount Offered(%),Discount Amount,Net Amount,Branch Name,Sales Channel,Customer Segment,Payment Mode,Region
01-01-2022 00:00,INV202104013468,P003,V1600D4-L,GEPON OLT,Netlink,5,90000,100000,10,50000,450000,Coimbatore,Distributor,ISP,Credit,Telangana
01-01-2022 00:00,INV202104013679,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,2448,95,100,5,12240,232560,Chennai,Wholesale,ISP,EMI,Tamil Nadu
01-01-2022 00:00,INV202104019216,P003,V1600D4-L,GEPON OLT,Netlink,2,90000,100000,10,20000,180000,Ernakulam,Distributor,ISP,Full Cash,Kerala
01-01-2022 00:00,INV202104016777,P004,V1600G2,GPON OLT,Netlink,9,180000,200000,10,180000,1620000,Ernakulam,Distributor,ISP,Full Cash,Tamil Nadu
01-01-2022 00:00,INV202104015579,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,152,1900,2000,5,15200,288800,Coimbatore,Wholesale,ISP,Credit,Delhi
01-01-2022 00:00,INV202104018716,P005,HG2802RGWT,GPON ONT,Netlink,115,4750,5000,5,28750,546250,Chennai,Distributor,Retailer,EMI,Tamil Nadu
01-01-2022 00:00,INV202104014921,P004,Termination Box 2-Way Model,Distribution Products,Opton,245,1900,2000,5,24500,465500,Perumbavoor,Wholesale,ISP,Credit,Kerala
01-01-2022 00:00,INV202104012255,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,93,1900,2000,5,9300,176700,Ernakulam,Distributor,ISP,EMI,Kerala
01-01-2022 00:00,INV202104013754,P005,HG2802RGWT,GPON ONT,Netlink,130,4750,5000,5,32500,617500,Bangalore,Retail,ISP,Credit,Tamil Nadu
02-01-2022 00:00,INV202104022111,P003,V1600D4-L,GEPON OLT,Netlink,3,90000,100000,10,30000,270000,Ernakulam,Wholesale,Distributor,Credit,Tamil Nadu
02-01-2022 00:00,INV202104029192,P001,Fiber Optic Patch Cord (SC/APC) 5 Mtr,Patch Cord,Fober,2453,95,100,5,12265,233035,Perumbavoor,Distributor,ISP,Full Cash,Kerala
02-01-2022 00:00,INV202104021798,P004,Termination Box 2-Way Model,Distribution Products,Opton,268,1900,2000,5,26800,509200,Perumbavoor,Distributor,ISP,Credit,Tamil Nadu
02-01-2022 00:00,INV202104028161,P005,HG2802RGWT,GPON ONT,Netlink,84,4750,5000,5,21000,399000,Ernakulam,Retail,ISP,Credit,Kerala
02-01-2022 00:00,INV202104025081,P005,HG2802RGWT,GPON ONT,Netlink,166,4750,5000,5,41500,788500,Coimbatore,Retail,ISP,EMI,Delhi
02-01-2022 00:00,INV202104028236,P004,V1600G2,GPON OLT,Netlink,5,180000,200000,10,100000,900000,Chennai,Wholesale,ISP,Credit,Tamil Nadu
02-01-2022 00:00,INV202104028840,P004,PLC Splitter 1x4 Without Connector,Splitter,Fober,172,1900,2000,5,17200,326800,Ernakulam,Distributor,ISP,Full Cash,Tamil Nadu
02-01-2022 00:00,INV202104027800,P004,V1600G2,GPON OLT,Netlink,4,180000,200000,10,80000,720000,Ernakulam,Distributor,ISP,Full Cash,Kerala
